Affinity, Linkage, Result
euclidean, ward, 0.37894736842105264
euclidean, complete, 0.3157894736842105
manhattan, complete, 0.29473684210526313
l1, complete, 0.29473684210526313
l2, complete, 0.3157894736842105
cosine, complete, 0.35789473684210527
euclidean, average, 0.3263157894736842
manhattan, average, 0.3368421052631579
l1, average, 0.3368421052631579
l2, average, 0.3263157894736842
cosine, average, 0.35789473684210527
euclidean, single, 0.3473684210526316
manhattan, single, 0.3368421052631579
l1, single, 0.3368421052631579
l2, single, 0.3473684210526316
cosine, single, 0.3473684210526316
