Affinity, Linkage, Result
euclidean, ward, 0.6105263157894737
euclidean, complete, 0.3684210526315789
manhattan, complete, 0.37894736842105264
l1, complete, 0.37894736842105264
l2, complete, 0.3684210526315789
cosine, complete, 0.6736842105263158
euclidean, average, 0.3263157894736842
manhattan, average, 0.6631578947368421
l1, average, 0.6631578947368421
l2, average, 0.3263157894736842
cosine, average, 0.6736842105263158
euclidean, single, 0.7052631578947368
manhattan, single, 0.7052631578947368
l1, single, 0.7052631578947368
l2, single, 0.7052631578947368
cosine, single, 0.7052631578947368
