Affinity, Linkage, Result
euclidean, ward, 0.6421052631578947
euclidean, complete, 0.5473684210526316
manhattan, complete, 0.4421052631578947
l1, complete, 0.4421052631578947
l2, complete, 0.5473684210526316
cosine, complete, 0.43157894736842106
euclidean, average, 0.6105263157894737
manhattan, average, 0.43157894736842106
l1, average, 0.43157894736842106
l2, average, 0.6105263157894737
cosine, average, 0.5052631578947369
euclidean, single, 0.6947368421052632
manhattan, single, 0.6947368421052632
l1, single, 0.6947368421052632
l2, single, 0.6947368421052632
cosine, single, 0.7263157894736842
