Kernel, Class Weight, Accuracy
rbf, balanced, 0.1354611111111109
rbf, 1, 0.3005944444444458
sigmoid, balanced, 0.09766666666666847
sigmoid, 1, 0.26259444444444435
linear, balanced, 0.10127777777777838
linear, 1, 0.2848888888888902
poly2, balanced, 0.12029444444444465
poly2, 1, 0.266005555555556
poly3, balanced, 0.13417777777777717
poly3, 1, 0.2877166666666682
poly5, balanced, 0.18266666666666675 (50 iter)
poly5, 1, 0.2793333333333333 (50 iter)
poly7, balanced, 0.16733333333333342 (50 iter)
poly7, 1, 0.265 (50 iter)
poly9, balanced, 0.16500000000000006 (50 iter)
poly9, 1, 0.29833333333333323 (50 iter)
