Affinity, Linkage, Result
euclidean, ward, 0.03614457831325301
euclidean, complete, 0.07228915662650602
manhattan, complete, 0.07228915662650602
l1, complete, 0.07228915662650602
l2, complete, 0.07228915662650602
cosine, complete, 0.033734939759036145
euclidean, average, 0.03614457831325301
manhattan, average, 0.06265060240963856
l1, average, 0.06265060240963856
l2, average, 0.03614457831325301
cosine, average, 0.06746987951807229
euclidean, single, 0.043373493975903614
manhattan, single, 0.043373493975903614
l1, single, 0.043373493975903614
l2, single, 0.043373493975903614
cosine, single, 0.06746987951807229
