Kernel, Class Weight, Accuracy
rbf, blanced, 0.24021285140562093
rbf, 1, 0.3047991967871569
sigmoid, balanced, 0.019819277108433384
sigmoid, 1, 0.2872570281124562
linear, balanced, 0.239405622489958
linear, 1, 0.2851726907630577
poly 2, balanced, 0.2573654618473905
poly 2, 1, 0.30359036144579105
poly 3, balanced, 0.2614176706827326
poly 3, 1, 0.3000441767068351
poly 4, balanced, 0.2622730923694794
poly 4, 1, 0.2966666666666737
poly 5, balanced, 0.27345783132530477
poly 5, 1, 0.30016064257028885
poly 6, balanced, 0.2813212851405673
poly 6, 1, 0.3010120481927787
poly 7, balanced, 0.2832008032128564
poly 7, 1, 0.29953413654619226
poly 8, blanced, 0.2755502008032169
poly 8, 1, 0.29832931726908346
poly 9, balanced, 0.2669397590361474
poly 9, 1, 0.2993293172690841
