Kernel, Class Weight , Accuracy
rbf, blanced, 0.47048039215686965
rbf, 1, 0.7607843137254865
sigmoid, balanced, 0.5737156862744965
sigmoid, 1, 0.7305
linear, balanced, 0.44209313725490984
linear, 1, 0.7606568627450937
poly 2, balanced, 0.4006176470588271
poly 2, 1, 0.760313725490192
poly 3, balanced, 0.3914803921568642
poly 3, 1, 0.7584901960784286
poly 4, balanced, 0.3863235294117663
poly 4, 1, 0.7410049019607865
poly 5, balanced, 0.3907205882352952
poly 5, 1, 0.7391911764705907
poly 6, balanced, 0.40203431372549325
poly 6, 1, 0.73233333333334
poly 7, balanced, 0.41834803921569114
poly 7, 1, 0.7267500000000068
poly 8, blanced, 0.42740196078432
poly 8, 1, 0.7221029411764792
poly 9, balanced, 0.4271617647058885
poly 9, 1, 0.7196911764705975
